source,target,support,confidence,lhs.support,lift,hyper_lift,weight
{yeast},{onion},0.012340764331210192,0.7560975609756098,0.016321656050955414,3.2191814799503926,1.9375000000000002,0.6613984822453651
{peanut_oil},{wine},0.00875796178343949,0.4074074074074074,0.021496815286624206,6.822716049382716,2.75,1.0116009116784799
{wine},{peanut_oil},0.00875796178343949,0.14666666666666667,0.059713375796178345,6.822716049382716,2.75,1.0116009116784799
{peanut_oil},{pepper},0.0051751592356687895,0.24074074074074073,0.021496815286624203,4.446623093681917,1.8571428571428572,0.6190392084062235
{nira},{pork},0.00875796178343949,0.34375,0.025477707006369425,3.524489795918367,1.8333333333333333,0.6061358035703155
{pea},{chicken_broth},0.0051751592356687895,0.20634920634920634,0.025079617834394906,5.63423050379572,2.1666666666666665,0.7731898882334817
{chicken_broth},{pea},0.0051751592356687895,0.14130434782608695,0.03662420382165605,5.63423050379572,2.1666666666666665,0.7731898882334817
{celery_oil},{corn},0.018312101910828025,1,0.018312101910828025,28.545454545454547,9.2,2.2192034840549946
{corn},{celery_oil},0.018312101910828025,0.5227272727272727,0.03503184713375796,28.545454545454543,9.2,2.2192034840549946
{celery_oil},{tomato},0.018312101910828025,1,0.018312101910828025,27.304347826086957,9.2,2.2192034840549946
{tomato},{celery_oil},0.018312101910828025,0.5,0.03662420382165605,27.304347826086957,9.2,2.2192034840549946
{celery_oil},{beef_broth},0.005573248407643312,0.30434782608695654,0.01831210191082802,5.500156396621834,1.9999999999999998,0.6931471805599452
{beef_broth},{celery_oil},0.005573248407643312,0.10071942446043165,0.05533439490445859,5.500156396621833,1.9999999999999998,0.6931471805599452
{celery_oil},{vinegar},0.018312101910828025,1,0.018312101910828025,4.626151012891344,2.7058823529411766,0.995428052432879
{cilantro},{pepper},0.006767515923566879,0.27419354838709675,0.024681528662420384,5.064516129032258,2.125,0.7537718023763802
{pepper},{cilantro},0.006767515923566879,0.125,0.054140127388535034,5.064516129032258,2.125,0.7537718023763802
{mustard},{pear},0.0051751592356687895,0.1625,0.03184713375796178,4.638636363636364,1.8571428571428572,0.6190392084062235
{pear},{mustard},0.0051751592356687895,0.14772727272727273,0.03503184713375796,4.638636363636364,1.8571428571428572,0.6190392084062235
{mustard},{cucumber},0.01393312101910828,0.4375,0.03184713375796178,4.560165975103734,2.5,0.9162907318741551
{cucumber},{mustard},0.01393312101910828,0.14522821576763487,0.09593949044585987,4.560165975103734,2.5,0.9162907318741551
{mustard},{vinegar},0.020302547770700636,0.6375,0.03184713375796178,2.9491712707182316,1.9615384615384615,0.6737290947028437
{pear},{honey},0.009156050955414012,0.26136363636363635,0.03503184713375796,6.252813852813852,2.875,1.0560526742493137
{honey},{pear},0.009156050955414012,0.21904761904761905,0.04179936305732484,6.252813852813853,2.875,1.0560526742493137
{pear},{nut},0.011146496815286623,0.3181818181818182,0.03503184713375796,4.873614190687361,2.333333333333333,0.8472978603872034
{nut},{pear},0.011146496815286623,0.17073170731707318,0.06528662420382164,4.873614190687362,2.333333333333333,0.8472978603872034
{pear},{radish},0.018312101910828025,0.5227272727272727,0.03503184713375796,4.30521609538003,2.5555555555555554,0.9382696385929302
{radish},{pear},0.018312101910828025,0.15081967213114755,0.12141719745222929,4.30521609538003,2.5555555555555554,0.9382696385929302
{chicken_broth},{bean},0.005971337579617835,0.16304347826086957,0.03662420382165605,4.266304347826087,1.8750000000000002,0.6286086594223742
{bean},{chicken_broth},0.005971337579617835,0.15625,0.038216560509554146,4.266304347826087,1.8750000000000002,0.6286086594223742
{chicken_broth},{corn},0.005971337579617835,0.16304347826086957,0.03662420382165605,4.654150197628459,1.8750000000000002,0.6286086594223742
{corn},{chicken_broth},0.005971337579617835,0.17045454545454544,0.03503184713375797,4.654150197628458,1.8750000000000002,0.6286086594223742
{chicken_broth},{wine},0.011146496815286623,0.30434782608695654,0.03662420382165604,5.096811594202899,2.545454545454545,0.9343092373768331
{wine},{chicken_broth},0.011146496815286623,0.18666666666666668,0.05971337579617834,5.096811594202899,2.545454545454545,0.9343092373768331
{chicken_broth},{chicken},0.011544585987261146,0.31521739130434784,0.03662420382165605,3.6658615136876005,1.9333333333333331,0.6592456288842639
{chicken},{chicken_broth},0.011544585987261146,0.13425925925925927,0.0859872611464968,3.665861513687601,1.9333333333333331,0.6592456288842639
{chicken_broth},{starch},0.019904458598726114,0.5434782608695652,0.03662420382165605,3.945715003769791,2.380952380952381,0.8675005677047231
{starch},{chicken_broth},0.019904458598726114,0.14450867052023122,0.13773885350318468,3.9457150037697915,2.380952380952381,0.8675005677047231
{corn},{tomato},0.018710191082802547,0.5340909090909091,0.03503184713375796,14.583003952569168,5.875,1.7707060600302227
{tomato},{corn},0.018710191082802547,0.5108695652173914,0.03662420382165604,14.58300395256917,5.875,1.7707060600302227
{corn},{vinegar},0.020302547770700636,0.5795454545454546,0.03503184713375796,2.6810647915620294,1.8214285714285714,0.5996211225491218
{tomato},{vinegar},0.023487261146496817,0.6413043478260869,0.03662420382165606,2.966770758267275,2.03448275862069,0.7102416139192456
{vinegar},{tomato},0.023487261146496817,0.10865561694290976,0.21616242038216563,2.966770758267275,2.03448275862069,0.7102416139192456
{enokidake},{clam},0.007961783439490446,0.19607843137254902,0.04060509554140127,3.9091192032368505,1.8181818181818181,0.5978370007556204
{clam},{enokidake},0.007961783439490446,0.15873015873015872,0.05015923566878981,3.9091192032368505,1.8181818181818181,0.5978370007556204
{enokidake},{pumpkin},0.007961783439490446,0.19607843137254902,0.04060509554140127,3.5435181266751306,1.8181818181818181,0.5978370007556204
{pumpkin},{enokidake},0.007961783439490446,0.14388489208633093,0.0553343949044586,3.54351812667513,1.8181818181818181,0.5978370007556204
{enokidake},{kelp},0.013535031847133758,0.3333333333333333,0.04060509554140128,4.704119850187266,2.4285714285714284,0.8873031950009027
{kelp},{enokidake},0.013535031847133758,0.19101123595505617,0.07085987261146497,4.704119850187266,2.4285714285714284,0.8873031950009027
{enokidake},{mushroom},0.012738853503184714,0.3137254901960784,0.04060509554140128,4.635755478662054,2.4615384615384617,0.9007865453381899
{mushroom},{enokidake},0.012738853503184714,0.18823529411764706,0.06767515923566879,4.635755478662053,2.4615384615384617,0.9007865453381899
{enokidake},{radish},0.016719745222929936,0.4117647058823529,0.04060509554140127,3.3913211186113785,2.1,0.7419373447293773
{radish},{enokidake},0.016719745222929936,0.1377049180327869,0.12141719745222929,3.391321118611379,2.1,0.7419373447293773
{enokidake},{shiitake},0.01751592356687898,0.43137254901960786,0.04060509554140127,3.4183212717263567,2.0952380952380953,0.7396671961948382
{shiitake},{enokidake},0.01751592356687898,0.138801261829653,0.12619426751592355,3.4183212717263562,2.0952380952380953,0.7396671961948382
{enokidake},{onion},0.024681528662420384,0.6078431372549019,0.04060509554140128,2.5879694250581586,1.823529411764706,0.6007738604289302
{onion},{enokidake},0.024681528662420384,0.10508474576271186,0.23487261146496818,2.5879694250581586,1.823529411764706,0.6007738604289302
{clam},{pumpkin},0.009554140127388535,0.19047619047619047,0.05015923566878981,3.442274751627269,1.8461538461538463,0.6131044728864089
{pumpkin},{clam},0.009554140127388535,0.17266187050359713,0.05533439490445859,3.44227475162727,1.8461538461538463,0.6131044728864089
{clam},{squid},0.012738853503184714,0.25396825396825395,0.05015923566878981,4.430335097001763,2.2857142857142856,0.8266785731844679
{squid},{clam},0.012738853503184714,0.2222222222222222,0.05732484076433122,4.430335097001763,2.2857142857142856,0.8266785731844679
{clam},{kelp},0.012340764331210192,0.24603174603174602,0.05015923566878981,3.4720884608525058,1.9375000000000002,0.6613984822453651
{kelp},{clam},0.012340764331210192,0.17415730337078653,0.07085987261146497,3.472088460852506,1.9375000000000002,0.6613984822453651
{wine},{pepper},0.012340764331210192,0.20666666666666667,0.059713375796178345,3.817254901960784,2.066666666666667,0.7259370033829363
{pepper},{wine},0.012340764331210192,0.22794117647058823,0.054140127388535034,3.8172549019607844,2.066666666666667,0.7259370033829363
{squid},{shrimp},0.024681528662420384,0.4305555555555556,0.05732484076433121,3.0380774032459428,2.066666666666667,0.7259370033829363
{shrimp},{squid},0.024681528662420384,0.17415730337078653,0.14171974522292993,3.0380774032459428,2.066666666666667,0.7259370033829363
{oyster},{starch},0.02428343949044586,0.4206896551724138,0.057722929936305734,3.0542555311939403,2.0333333333333337,0.709676482511156
{starch},{oyster},0.02428343949044586,0.17630057803468208,0.13773885350318474,3.0542555311939408,2.0333333333333337,0.709676482511156
{oyster},{onion},0.03463375796178344,0.6,0.057722929936305734,2.554576271186441,1.891304347826087,0.6372667221654887
{onion},{oyster},0.03463375796178344,0.14745762711864407,0.23487261146496813,2.554576271186441,1.891304347826087,0.6372667221654887
{kelp},{radish},0.02308917197452229,0.3258426966292135,0.07085987261146495,2.6836618161724077,1.8124999999999998,0.5947071077466927
{radish},{kelp},0.02308917197452229,0.1901639344262295,0.1214171974522293,2.6836618161724073,1.8124999999999998,0.5947071077466927
{kelp},{shiitake},0.02388535031847134,0.33707865168539325,0.07085987261146498,2.6711090631978163,1.8181818181818183,0.5978370007556205
{shiitake},{kelp},0.02388535031847134,0.1892744479495268,0.12619426751592358,2.6711090631978167,1.8181818181818183,0.5978370007556205
{beef_broth},{starch},0.022292993630573247,0.4028776978417266,0.05533439490445859,2.924938661787333,1.9310344827586206,0.6580558607486752
{starch},{beef_broth},0.022292993630573247,0.16184971098265896,0.1377388535031847,2.9249386617873334,1.9310344827586206,0.6580558607486752
{chinese_cabbage},{shrimp},0.04179936305732484,0.6687898089171974,0.0625,4.719101123595506,3.1818181818181817,1.157452788691043
{shrimp},{chinese_cabbage},0.04179936305732484,0.2949438202247191,0.14171974522292993,4.719101123595506,3.1818181818181817,1.157452788691043
{chinese_cabbage},{fish},0.041401273885350316,0.6624203821656051,0.0625,3.282051282051282,2.4186046511627906,0.8831907834478102
{fish},{chinese_cabbage},0.041401273885350316,0.20512820512820512,0.2018312101910828,3.282051282051282,2.4186046511627906,0.8831907834478102
{chinese_cabbage},{ginger},0.050557324840764334,0.8089171974522293,0.0625,2.4841075794621026,1.9538461538461538,0.6697998165629542
{ginger},{chinese_cabbage},0.050557324840764334,0.1552567237163814,0.32563694267515925,2.4841075794621026,1.9538461538461538,0.6697998165629542
{chinese_cabbage},{cayenne},0.0553343949044586,0.8853503184713376,0.0625,2.2063492063492065,1.8051948051948052,0.5906685112770079
{cayenne},{chinese_cabbage},0.0553343949044586,0.1378968253968254,0.40127388535031844,2.2063492063492065,1.8051948051948052,0.5906685112770079
{cucumber},{vinegar},0.05692675159235669,0.5933609958506224,0.09593949044585988,2.744977571964574,2.1343283582089554,0.7581520108689414
{vinegar},{cucumber},0.05692675159235669,0.26335174953959484,0.21616242038216563,2.744977571964574,2.1343283582089554,0.7581520108689414
{bell_pepper},{starch},0.02945859872611465,0.37,0.07961783439490445,2.6862427745664736,1.8974358974358974,0.6405034470745233
{starch},{bell_pepper},0.02945859872611465,0.2138728323699422,0.1377388535031847,2.686242774566474,1.8974358974358974,0.6405034470745233
{shiitake},{carrot},0.044585987261146494,0.35331230283911674,0.12619426751592355,2.418312001994172,1.8666666666666665,0.6241543090729937
{carrot},{shiitake},0.044585987261146494,0.30517711171662126,0.14609872611464966,2.418312001994172,1.8666666666666665,0.6241543090729937
{wheat},{egg},0.09076433121019108,0.5170068027210885,0.1755573248407643,2.2905133834839053,1.9322033898305082,0.6586610044887758
{egg},{wheat},0.09076433121019108,0.4021164021164021,0.22571656050955413,2.290513383483905,1.9322033898305082,0.6586610044887758
{roasted_sesame_seed},{sesame_oil},0.1536624203821656,0.7845528455284553,0.19585987261146495,2.1033049604775664,1.8737864077669903,0.6279612006752499
{sesame_oil},{roasted_sesame_seed},0.1536624203821656,0.4119530416221985,0.3730095541401274,2.1033049604775664,1.8737864077669903,0.6279612006752499
